Rank,Driver,Car No.,Starts,Laps,Total time,Laps Led,Status,Points,Avg.Speed,Pit stop,City,Points (F1 Scoring),Points (IMSA Scoring),Race Number
1,Scott McLaughlin,3,1,90,01:56:45.7773,90,Running,54,106.369,3,barber,25,385,3
2,Will Power,12,2,90,01:56:47.0967,90,Running,41,106.349,3,barber,18,352,3
3,Linus Lundqvist,8,19,90,01:56:48.2194,90,Running,36,106.332,3,barber,15,312,3
4,Felix Rosenqvist,60,5,90,01:56:50.2882,90,Running,33,106.301,2,barber,12,306,3
5,Alex Palou,10,10,90,01:56:51.1465,90,Running,31,106.288,2,barber,10,281,3
6,Christian Lundgaard,45,3,90,01:56:51.8282,90,Running,28,106.278,3,barber,8,280,3
7,Santino Ferrucci,14,17,90,01:56:52.3828,90,Running,27,106.269,3,barber,6,254,3
8,Colton Herta,26,15,90,01:56:53.2897,90,Running,24,106.255,2,barber,4,246,3
9,Marcus Armstrong,11,6,90,01:56:53.8148,90,Running,22,106.247,2,barber,2,245,3
10,Kyle Kirkwood,27,9,90,01:56:54.3346,90,Running,20,106.240,2,barber,1,232,3
11,Graham Rahal,15,7,90,01:56:54.8061,90,Running,19,106.232,2,barber,0,224,3
12,Romain Grosjean,77,11,90,01:56:55.2268,90,Running,18,106.226,2,barber,0,210,3
13,Jack Harvey,18,22,90,01:56:55.9042,90,Running,17,106.216,4,barber,0,189,3
14,Kyffin Simpson,4,23,90,01:56:56.2188,90,Running,16,106.211,3,barber,0,178,3
15,Scott Dixon,9,13,90,01:56:57.1401,90,Running,15,106.197,2,barber,0,178,3
16,Josef Newgarden,2,8,90,01:56:58.0128,90,Running,14,106.184,2,barber,0,173,3
17,Rinus VeeKay,21,27,90,01:56:59.2865,90,Running,13,106.165,3,barber,0,144,3
18,Marcus Ericsson,28,18,90,01:56:59.6210,90,Running,12,106.160,2,barber,0,143,3
19,Tom Blomqvist,66,12,90,01:57:00.3524,90,Running,11,106.149,3,barber,0,139,3
20,Agustin Canapino,78,20,90,01:57:00.4580,90,Running,10,106.147,3,barber,0,121,3
