race_num,race_city,rank,driver,car_no,start,laps,total_time,laps_led,status,avg_speed,num_pit_stop,points,points_f1,points_IMSA,track_type
6,detroit,1,Scott Dixon,9,5,100,7567.9684,35,Running,78.251,2,53,25,376,Street Course
6,detroit,2,Marcus Ericsson,28,9,100,7568.8251,0,Running,78.242,2,40,18,342,Street Course
6,detroit,3,Marcus Armstrong,11,19,100,7572.8813,0,Running,78.200,4,35,15,312,Street Course
6,detroit,4,Kyle Kirkwood,27,6,100,7574.0933,24,Running,78.188,2,33,12,305,Street Course
6,detroit,5,Alexander Rossi,7,16,100,7576.9216,0,Running,78.158,4,30,10,275,Street Course
6,detroit,6,Will Power,12,8,100,7578.0729,0,Running,78.147,4,28,8,273,Street Course
6,detroit,7,Pato O'Ward,5,12,100,7579.4505,0,Running,78.132,4,26,6,259,Street Course
6,detroit,8,Felix Rosenqvist,60,22,100,7583.4682,0,Running,78.091,4,24,4,239,Street Course
6,detroit,9,Santino Ferrucci,14,10,100,7586.2566,0,Running,78.062,5,22,2,241,Street Course
6,detroit,10,Theo Pourchaire,6,7,100,7586.8596,0,Running,78.056,4,20,1,234,Street Course
6,detroit,11,Christian Lundgaard,45,11,100,7591.2842,6,Running,78.011,4,20,0,220,Street Course
6,detroit,12,Agustin Canapino,78,17,100,7595.3358,0,Running,77.969,4,18,0,204,Street Course
6,detroit,13,Pietro Fittipaldi,30,15,100,7596.337,0,Running,77.959,4,17,0,196,Street Course
6,detroit,14,Rinus VeeKay,21,18,100,7597.3806,0,Running,77.948,3,16,0,183,Street Course
6,detroit,15,Graham Rahal,15,20,100,7598.1249,0,Running,77.940,4,15,0,171,Street Course
6,detroit,16,Alex Palou,10,2,100,7607.0122,1,Running,77.849,5,15,0,182,Street Course
6,detroit,17,Jack Harvey,18,26,100,7614.3061,0,Running,77.775,5,13,0,145,Street Course
6,detroit,18,Tristan Vautier,51,24,99,7580.3437,0,Running,77.342,4,12,0,137,Street Course
